procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0 1060080 253760 76408 1110180   0    0   270    52    0  686  7  6 87  0
 5  0 1060060 211676 76416 1110232   0    0     0   160    0 13023 18 14 68 0
 5  0 1060060 212272 76416 1110232   0    0     0     0    0 10943 16 15 69 0
 6  0 1060056 211016 76416 1110236   0    0     0     0    0 9393 14 14 72  0
 1  0 1060044 210032 76416 1110236   0    0     0   248    0 12282 17 15 68 0
 2  0 1060044 209924 76416 1110240   0    0     0     0    0 6470 12 10 78  0
 5  0 1060044 209968 76416 1110244   0    0     0     0    0 10876 16 14 70 0
 4  0 1060044 199216 76424 1110244   0    0     0    80    0 8804 18 14 69  0
 5  0 1060036 211216 76432 1110244   0    0     0    56    0 12302 18 15 67 0
 5  0 1060036 211340 76432 1110244   0    0     0   128    0 7502 12 12 76  0
 5  0 1060008 210560 76432 1110248   0    0     0     0    0 12716 17 15 67 0
 2  0 1060008 210436 76432 1110248   0    0     0     0    0 7037 11 11 78  0
