procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0 157096  52320   5024 673012    2   17   888    90    0  556  6  4 90  1
 3  0 157096  38468   5024 673012    0    0     0   104    0 3910 13  8 79  0
 0  0 157096  35736   5040 673052    0    0     0   184    0 5764 10  4 86  0
 1  0 157096  34380   5048 673048    0    0   380    96    0 4361  8  5 86  1
 0  0 157096  34516   5048 673088    0    0     0     0    0 2951  3  2 95  0
 2  0 157096  35044   5056 673164    0    0     0    72    0 5442 10  4 85  0
 2  0 157096  34860   5056 673172    0    0     0   244    0 1350  4  2 94  0
 2  0 157096  33836   5064 673212    0    0     0   104    0 5340  7  4 89  0
 0  0 157096  33888   5072 673148    8    0     8    64    0 5815 10  4 86  0
 1  0 157096  33936   5072 673172    0    0     0     0    0  338  0  1 99  0
 0  0 157096  33344   5080 673164    0    0     0    88    0 7051 11  3 86  0
 1  0 157096  32584   5096 673192    0    0    64   444    0 3473  7  3 89  1
 0  0 157096  32492   5104 673220    0    0     0    80    0 2912  3  3 94  0
 3  0 157280  35280   5112 669744    0  192     0   284    0 5979  8  5 87  0
 3  0 157280  35212   5112 669628    0    0     0     0    0 1598  2  1 97  0
 0  0 157280  34728   5120 669572    0    0     0    76    0 5204  8  3 89  0
 2  0 157280  33904   5128 669592    0    0     0   368    0 3913  6  2 91  0
