procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 156944  51356   4908 676684    2   17   911    92    0  542  5  4 90  1
 4  0 156944  39008   4916 676708    0    0     0   248    0 7210 16  8 76  0
 2  0 156944  38520   4916 676736    0    0     0     0    0 1559  3  1 96  0
 0  0 156944  38600   4916 676736    0    0     0     0    0 3252  4  2 94  0
 4  0 156944  38532   4916 676744    0    0     0     0    0 3815  6  3 91  0
 0  2 156944  38476   4924 676736    0    0     0   140    0 2115  3  1 95  0
 0  0 157104  37232   4928 672796    0  160     0   404    0 3643  5  2 93  0
 2  0 157104  37348   4928 672780    0    0     0     0    0 3947  8  2 90  0
 0  0 157104  37208   4928 672740    0    0     0     0    0 1572  3  1 96  0
 0  0 157104  37420   4928 672740    0    0     0     0    0 3566  5  1 94  0
 2  0 157100  37152   4928 672712    4    0     4     0    0 4229  9  5 86  0
 2  0 157100  37988   4928 672760    0    0     0     0    0 1788  3  1 96  0
 0  0 157100  38364   4936 672752    0    0     0    92    0 3803  5  2 93  0
 2  0 157100  38716   4936 672760    0    0     0     0    0 4086  8  3 89  0
 2  0 157100  38540   4936 672764    0    0     0     0    0 1788  3  1 96  0
