procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 1070436 244736 73552 1108308   0    0   269    52    0  688  7  6 87  0
10  0 1070404 186888 73568 1108440   0    0    68   252    0 13337 16 15 69 0
 3  0 1070400 185592 73576 1108436   0    0     0   472    0 6251  7  8 86  0
 1  0 1070400 210432 73584 1108444   0    0     0   132    0 3133 16  9 75  0
 2  0 1070400 211328 73584 1108444   0    0     0     0    0 3114  9  7 83  0
 0  0 1070400 211308 73584 1108444   0    0     0     0    0 3008  8  7 85  0
 3  0 1070400 209080 73608 1108444   0    0     0   320    0 3669 10  8 82  0
 2  0 1070396 208432 73608 1108444   0    0     0   216    0 4812  8  7 85  0
 8  0 1070396 207464 73624 1108444   0    0     0   132    0 3437 10  7 83  0
 0  0 1070396 205928 73624 1108452   0    0     0     0    0 3388 10  6 84  0
 0  0 1070392 205300 73624 1108452   0    0     0     0    0 2960  8  6 87  0
 0  0 1070392 204456 73644 1108460   0    0     4   220    0 2694  8  5 86  0
 2  0 1070388 203888 73644 1108460   0    0     0     0    0 3119  8  7 84  0
 1  0 1070388 202932 73644 1108456   0    0     0   212    0 5644 10  8 82  0
 0  0 1070388 202472 73644 1108460   0    0     0     0    0 2656  5  5 90  0
 8  0 1070388 201108 73644 1108460   0    0     0     0    0 2495  7  5 88  0
 0  0 1070384 200364 73652 1108452   0    0     0   112    0 3071  7  6 87  0
 4  0 1070384 199900 73652 1108460   0    0     0     0    0 2876  8  6 86  0
