procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0 1260924 295592 113412 1015832  0    0   351    54    0  670  7  6 87  0
 2  0 1260896 262156 113432 1015868  0    0     0   752    0 18490 17 16 68 0
 0  0 1260896 262004 113432 1015868  0    0     0     0    0 3396  5  4 91  0
 3  0 1260892 263832 113432 1015868  0    0     0     0    0 6451 10  9 82  0
 2  0 1260892 262604 113432 1015868  0    0     0     0    0 11936 11 7 82  0
 2  0 1260892 285812 113432 1015872  0    0     0     0    0 4334  7  4 89  0
 7  0 1260880 282032 113432 1015872  0    0     0   208    0 8237 13  9 78  0
 5  0 1260944 298396 113576 1015740  0    0     0  1228    0 14445 10 9 81  1
 1  0 1260904 297736 113576 1015816  0    0     0     0    0 3544  4  4 92  0
 0  0 1260896 291540 113580 1015812  0    0     0    76    0 9200 17 10 73  0
 4  0 1260880 290764 113588 1015816  0    0     0    56    0 12804 10 10 79 0
 3  0 1260880 290720 113588 1015816  0    0     0    64    0 3936  5  3 92  0
 2  0 1260880 290408 113588 1015816  0    0     0     0    0 6831  9  8 83  0
 2  0 1260876 289928 113716 1015788  0    0     0  1104    0 11140 10 10 80 1
 2  0 1260876 289540 113716 1015816  0    0     0     0    0 4216  5  4 91  0
