procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0 1010048 213760 77720 1148268   0    0   261    51    0  691  7  6 87  0
 1  0 1009916 170580 77744 1148344   0    0     0   356    0 10970 15 14 71 0
 1  0 1009916 169468 77744 1148344   0    0     0     0    0 3949  6  6 88  0
 0  0 1009916 167592 77752 1148392   0    0     0   152    0 5062 13  9 78  0
 0  0 1009916 167476 77752 1148340   0    0     0   320    0 2298  4  4 92  0
 0  0 1009612 165740 77760 1148360   0    0     0   144    0 5607 14 11 75  0
 1  0 1009612 165804 77760 1148364   0    0     0     0    0 2298  7  5 88  0
 0  0 1009312 164320 77768 1148404   0    0     0    80    0 4635 10  7 83  0
 0  0 1009100 161068 77788 1148376   0    0     0   380    0 6271 16 11 72  0
 1  0 1009100 160860 77788 1148376   0    0     0   284    0 1183  3  2 95  0
 0  0 1008800 158704 77792 1148424   0    0     0   144    0 6776 15 13 72  0
 0  0 1008600 157464 77812 1148376   0    0     0   492    0 3638 11  7 82  0
 0  0 1008596 157096 77812 1148376   0    0     0     0    0 4377  7  6 87  0
 2  0 1008496 160128 77820 1148396   0    0     0   116    0 5352 14 11 75  0
 0  0 1008496 159608 77820 1148344   0    0     0   476    0 3436  7  6 87  0
 0  0 1008192 158632 77820 1148364   0    0     0   164    0 5593 13 10 77  0
 1  0 1008192 158368 77820 1148400   0    0     0     0    0 1948  7  4 89  0
