procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0 999492 325968  80472 1120348   0    0   254    50    0  692  7  6 87  0
 2  0 999456 284764  80496 1120348   0    0     0   420    0 11164 16 14 70 0
 0  0 999452 283092  80496 1120436   0    0     0    16    0 2982  5  5 90  0
 1  0 999448 281556  80504 1120452   0    0     0   120    0 5840 14 11 75  0
 0  0 999448 281576  80504 1120428   0    0     0   364    0 2250  4  4 91  0
 0  0 999448 281008  80512 1120448   0    0     0   152    0 5640 14 10 75  0
 0  0 999448 280692  80512 1120492   0    0     0     0    0 3269  9  7 84  0
 0  0 999448 279576  80516 1120496   0    0     0    84    0 4751  9  8 83  0
12  0 999444 278060  80548 1120432   0    0     0   388    0 6387 13 12 75  0
 1  0 999436 277204  80548 1120464   0    0     0   328    0 1487  3  3 94  0
 0  0 999384 275492  80556 1120584   0    0     0   136    0 6586 15 11 74  0
 2  0 999384 273728  80580 1120464   0    0     0   388    0 4631 12  8 80  0
 2  0 999384 273208  80580 1120472   0    0     0     0    0 3219  6  7 87  0
 6  0 999380 271640  80588 1120508   0    0     0   116    0 6291 14 11 75  0
 3  0 999380 271144  80588 1120464   0    0     0   448    0 3327  6  5 88  0
 0  0 999376 280128  80604 1120480   0    0     0   292    0 7698 14 12 74  0
 4  0 999376 280532  80604 1120536   0    0     0     0    0 2309  7  5 88  0
