procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 1001028 346372 79596 1116664   0    0   256    50    0  691  7  6 87  0
 3  0 1001008 303828 79612 1116712   0    0     0   232    0 11559 16 14 70 0
 3  0 1001008 302952 79612 1116716   0    0     0     0    0 10681 16 14 70 0
 4  0 1000988 292644 79612 1116724   0    0     0   140    0 8452 16 13 71  0
 3  0 1000964 317676 79640 1116716   0    0     0   444    0 12260 21 14 66 0
 1  0 1000964 317672 79640 1116716   0    0     0     0    0 7432 13 12 75  0
 7  0 1000964 317096 79640 1116720   0    0     0    16    0 10976 16 15 69 0
 3  0 1000964 317076 79640 1116720   0    0     0     0    0 7455 13 12 75  0
 5  0 1000956 316392 79648 1116720   0    0     0   496    0 11622 16 15 69 0
 5  0 1000956 315952 79648 1116720   0    0     0     4    0 8033 13 11 76  0
 6  0 1000956 315436 79648 1116724   0    0     0     0    0 11021 16 15 70 0
 4  0 1000956 315516 79648 1116728   0    0     0     0    0 7229 11 12 77  0
