procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0 1070564 237152 73140 1108140   0    0   270    52    0  687  7  6 87  0
 0  0 1070560 210840 73148 1108228   0    0     0   168    0 9611 15 13 72  0
 2  0 1070552 211340 73148 1108232   0    0     0   308    0 2018  4  4 92  0
 0  0 1070552 212224 73148 1108232   0    0     0     0    0 2721  6  5 89  0
 0  0 1070544 205688 73204 1108228   0    0     0   644    0 5826 17  9 74  0
 3  0 1070528 205616 73204 1108236   0    0     0     0    0 2024  5  4 91  0
 0  0 1070528 205304 73220 1108212   0    0     0   204    0 2693  6  4 90  0
 2  0 1070528 205136 73220 1108200   0    0     0   236    0 5410 11  9 79  0
 7  0 1070528 204732 73220 1108208   0    0     0     0    0 2053  3  4 93  0
 1  0 1070528 202112 73220 1108212   0    0     0     0    0 4700 10  8 82  0
 1  0 1070504 220484 73220 1108216   0    0     0     0    0 5827 17 11 72  0
 9  0 1070504 219768 73220 1108220   0    0     0     0    0 2080  4  4 92  0
 1  0 1070504 219556 73228 1108220   0    0     0   256    0 3535  7  6 87  0
 0  0 1070504 219688 73236 1108232   0    0     0    28    0 4746 10  8 82  0
 4  0 1070456 219040 73236 1108188   0    0     0     0    0 2471  5  3 92  0
