procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  1 941020 183820  78524 1198268   0    0   289    54    0  677  7  6 87  0
 2  0 941016 114956  78860 1233232   0    0 36576     0    0 8335  5  9 82  4
 0  0 973444 140884  78072 1177084   0    0  3204   364    0 9781 10 15 75  0
 1  0 973356 140112  78072 1177324   0    0   208   280    0 3930 10  7 83  0
 8  0 973344 139600  78072 1177324   0    0     0     0    0  832  2  2 97  0
 1  0 973276 139952  78072 1177308   0    0    36     0    0 5621 13  8 79  0
 3  0 973244 139708  78072 1177512   0    0   160     0    0 4492 11  8 81  0
 2  0 973228 139152  78072 1177512   0    0     0     0    0 1897  3  4 93  0
 2  0 972004 125784  78540 1186688   0    0  9728   556    0 6809 12 11 77  1
 0  0 971968 125036  78552 1186700   0    0     4   212    0 5795 11  9 81  0
 0  0 971948 125300  78556 1187896   0    0  1256     0    0 1692  3  4 93  0
 0  0 971820 140848  78556 1187824   0    0   528     0    0 5842 11 11 78  0
 8  0 971816 140280  78556 1188072   0    0     0     0    0 3342  8  6 86  0
 0  0 971776 140204  78568 1188136   0    0    72   228    0 1538  3  3 95  0
 1  0 971760 142128  78568 1188288   0    0   100   820    0 5245 11  8 81  0
