procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 158296  55168   5668 670948    2   16   855    87    0  557  6  4 90  1
 1  0 158296  42744   5676 670940    0    0     0    88    0 7808 17  8 75  0
 3  0 158296  42724   5676 670964    0    0     0   188    0 12394 21 7 71  0
 1  0 158296  42464   5676 670964    0    0     0     0    0 8591 15  5 80  0
 0  0 158296  41960   5676 670784    0    0     0     0    0 11908 23 6 71  0
 5  0 158296  42372   5676 670180    0    0     0     0    0 9086 17  5 77  0
 1  0 158304  45740   5692 667368    0    8     0   252    0 13414 27 9 64  0
 0  0 158304  45312   5692 667356    0    0     0     0    0 10634 20 8 71  0
 7  0 158304  44632   5692 667364    0    0     0     0    0 11919 23 7 71  0
 0  0 158304  44516   5692 667368    0    0     0     0    0 8343 14  5 81  0
 2  0 158304  44336   5692 667372    0    0     0     0    0 11556 20 8 72  0
 1  0 158304  44056   5700 667368    0    0     0   404    0 8131 14  6 80  0
