procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0 994404 149288  82912 1212800   0    0   286    54    0  678  7  6 87  0
 1  0 994316 125312  82920 1212884   0    0     0   224    0 11178 17 13 69 0
 6  0 994316 125092  82920 1212888   0    0     0     0    0 1693  4  3 93  0
 0  0 994296 124396  82920 1212892   0    0     0     0    0 4011  9  6 84  0
 3  0 994276 124192  82920 1212896   0    0     0     0    0 4889  8  8 84  0
 6  0 994276 123956  82920 1212900   0    0     0   144    0 2116  3  3 94  0
 0  0 994276 124064  82936 1212876   0    0     0   296    0 3636  8  7 85  0
 4  0 994264 123988  82936 1212880   0    0     0     0    0 4508 11  8 81  0
 3  0 994256 123768  82936 1212844   0    0     0     0    0 2071  3  3 94  0
 0  0 994236 122956  82936 1212856   0    0     0     0    0 4366  9  8 84  0
 3  0 994236 117696  82936 1212888   0    0     0   332    0 6319 12 10 78  0
 9  0 994236 117620  82936 1212888   0    0     0     0    0 1724  3  2 95  0
 0  0 994236 117296  82944 1212892   0    0     0    20    0 3691  7  8 85  0
 0  0 994220 113484  82968 1212900   0    0     0   300    0 5864 12 10 78  0
 5  0 994212 112372  82968 1212904   0    0     0     0    0 2895  5  4 90  0
