procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 157100  53244   4992 672984    2   17   895    90    0  549  6  4 90  1
 5  0 157100  38724   4992 672984    0    0     0     0    0 3772 14  8 77  0
 0  0 157100  39368   5000 673000    0    0     0   232    0 13183 22 7 70  0
 6  0 157096  39604   5000 673000    4    0     4     0    0 7610 13  5 81  0
 2  0 157096  39664   5000 673004    0    0     0     0    0 13103 23 7 70  0
 0  0 157096  39364   5000 673008    0    0     0     0    0 9992 19  6 75  0
 1  0 157096  37636   5000 673008    0    0    28     0    1 12853 24 8 68  0
 0  0 157096  38044   5008 673020    0    0     0   120    0 9413 17  7 76  0
 1  0 157096  38124   5008 673036    0    0     0     0    0 11479 20 7 73  0
 2  0 157096  38088   5008 673036    0    0     0     0    0 7668 13  5 82  0
 1  0 157096  38044   5008 673040    0    0     0     0    0 12656 20 8 72  0
 2  0 157096  38384   5008 673044    0    0     0     0    1 7806 13  7 80  0
