procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 1202600 269896 62884 1088744   0    0   372    53    0  656  6  6 87  0
 1  0 1202584 227932 63108 1088780   0    0     0  1280    0 16315 17 15 68 1
 2  0 1202584 227688 63108 1088780   0    0     0     0    0 7444  8  7 86  0
 1  0 1202584 227188 63108 1088780   0    0     0     0    0 5557  9  6 85  0
 0  0 1202584 227192 63108 1088780   0    0     0     0    0 6597  7  8 85  0
 0  0 1202584 227076 63108 1088780   0    0     0     0    0 4000  6  5 89  0
 0  1 1202564 226056 63412 1088524   0    0     0  1752    0 16920 15 14 70 1
 7  0 1202564 225264 64052 1088780   0    0     0  2564    0 4136  6  6 86  2
 3  0 1202564 224940 64052 1088780   0    0     0     0    0 14820 14 14 72 0
 0  0 1202560 220560 64052 1088780   0    0     0     0    0 4781 11  6 83  0
 3  0 1202560 219848 64052 1088780   0    0     0     0    0 15447 16 13 71 0
 2  0 1202560 235960 64052 1089200   0    0   420    68    0 3468  6  5 90  0
