procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0 1260372 292848 118164 1018592  0    0   348    54    0  673  7  6 87  0
 0  0 1260368 249084 118168 1018688  0    0     0   352    0 13715 14 13 73 0
 0  0 1260368 248952 118168 1018688  0    0     0     0    0 8023  9  8 84  0
 6  0 1260368 248204 118168 1018688  0    0     0     0    0 6651  9  7 85  0
 4  0 1260216 247752 118168 1018688  0    0     0     0    0 13003 13 11 76 0
 6  1 1260212 247560 118292 1018628  0    0     0  1576    0 5413  7  7 85  1
 2  0 1260212 246816 118292 1018688  0    0     0  2364    0 16725 15 13 71 1
 7  0 1260212 246528 118292 1018688  0    0     0    56    0 3636  6  5 89  0
 0  0 1136576 328392 118308 1019488  0    0   808   280    0 16192 16 19 66 0
 0  0 1136572 328108 118308 1019488  0    0     0     0    0 1983  3  3 94  0
 3  1 1136568 327588 118660 1019452  0    0     0  2920    0 17588 15 15 69 2
 0  0 1136568 327120 118848 1019528  0    0    40  1572    0 6995  8  7 84  1
