procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0 1079496 361380 140996 1050848  0    0   326    55    0  685  7  6 87  0
 8  0 1079432 279568 141004 1050868  0    0     0   340    0 15487 19 16 64 0
 1  0 1079428 279032 141004 1050880  0    0     0     0    0 4585  6  6 87  0
 0  0 1079428 278272 141004 1050880  0    0     0     0    0 2595  5  4 90  0
 0  0 1079428 280428 141024 1050860  0    0     0  1004    0 3223  6  5 89  1
 1  0 1079428 280312 141024 1050880  0    0     0     0    0 3366  6  6 88  0
 0  0 1079428 280168 141024 1050880  0    0     0    92    0 3571  7  6 87  0
 0  0 1079428 279772 141024 1050880  0    0     0     0    0 2928  6  4 90  0
10  0 1079428 279852 141024 1050880  0    0     0     0    0 2633  5  4 90  0
 6  0 1079424 279072 141024 1050880  0    0     0     0    0 2635  5  5 90  0
 2  0 1079424 278424 141148 1050880  0    0     0   920    0 3962  8  6 86  1
 0  0 1079420 278132 141148 1050884  0    0     0     8    0 7563 13  9 78  0
 1  0 1079420 278100 141148 1050884  0    0     0     0    0 2074  4  4 92  0
 8  0 1079420 277704 141148 1050888  0    0     0     0    0 2652  5  4 90  0
 3  0 1079420 275700 141152 1050888  0    0     0    96    0 2786  8  4 88  0
 2  0 1079420 274800 141192 1050892  0    0     0  1228    0 3992  6  6 87  1
 0  0 1079416 274420 141192 1050892  0    0    60    72    0 3683  7  6 88  0
 0  0 1079456 289496 141192 1050892  0    0     0     0    0 2215  5  4 91  0
