procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 1108768 306752 136640 1045408  0    0   332    55    0  682  7  6 87  0
10  0 1108768 267020 136648 1044228  0    0     0   744    0 12651 17 13 70 0
 1  0 1108832 259912 136672 1044220  0    0     0   772    0 8110 10 10 80  0
 0  0 1108896 267540 136680 1044208  0    0     0   524    0 9719 14 11 74  0
 2  0 1108892 267416 136680 1044216  0    0     0     0    0 1797  4  3 93  0
 0  0 1108892 266208 136688 1044532  0    0     0   552    0 11725 15 12 73 0
 5  0 1108892 265468 136688 1044532  0    0     0     0    0 3086  9  4 87  0
 0  0 1108892 264836 136808 1044988  0    0     0  1672    0 6378 10  9 80  1
 5  0 1108844 253548 136808 1045440  0    0     0  1280    0 11149 18 14 68 0
 1  0 1108844 256484 136808 1045436  0    0     0     0    0 2436  5  3 91  0
 0  0 1108844 257336 136808 1044224  0    0     0   596    0 8490 14 10 76  0
18  0 1108844 256776 136808 1044224  0    0     0   524    0 4216  9  6 84  0
 0  0 1108972 247232 136868 1044068  0    0     0  1456    0 9696 12 11 77  1
 2  0 1109036 248456 136868 1044436  0    0     0   588    0 7982 14 10 76  0
 7  0 1109036 248192 136868 1044436  0    0     0     0    0 2038  4  3 92  0
 0  0 1109032 270304 136876 1043996  0    0     0   552    0 11272 16 14 69 0
 5  0 1109032 271152 136876 1044004  0    0     0     0    0 3822  9  6 84  0
