procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 1197808 202568 50788 1094876   0    0   376    53    0  652  6  6 87  0
 1  0 1197780 220668 50924 1095496   0    0   712   740    1 21612 18 17 64 1
 0  0 1197772 220456 50924 1095496   0    0     0     0    0 3788  5  4 91  0
 3  0 1197704 219956 50924 1095496   0    0     0   152    0 8157 12  8 80  0
 0  0 1197320 204632 51652 1096960   0    0  1836   488    0 19457 19 15 66 0
 4  0 1197300 204380 51652 1096964   0    0     0     0    0 3803  5  4 91  0
 5  0 1197300 205312 51652 1096964   0    0     0     0    0 6096  9  7 84  0
 1  0 1197288 204228 51972 1096948   0    0     0  1488    0 12704 12 11 76 1
 0  0 1197276 203476 51972 1096964   0    0     0   384    0 5033  5  5 90  0
 0  0 1197268 203012 51972 1096964   0    0     0     0    0 6387  9  7 84  0
 2  0 1197232 203228 51980 1096956   0    0     0    92    0 15549 12 11 78 0
 0  0 1197220 203028 51980 1096964   0    0     0     0    0 3693  4  4 92  0
 4  0 1197220 202828 51980 1096964   0    0     0     0    0 7368 11  7 82  0
 5  0 1197220 206536 52308 1096964   0    0     0  1572    0 16160 14 11 74 1
 8  0 1197220 206408 52308 1096964   0    0     0     0    0 3070  4  3 93  0
