procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 7  0 1005000 155984 86640 1176216   0    0   282    53    0  680  7  6 87  0
 1  0 1004984 112208 86664 1176296   0    0     0   440    0 11923 18 13 69 0
 0  0 1004976 110496 86664 1176300   0    0     0     0    0 4215  7  7 86  0
 0  0 1004968 107396 86672 1176336   0    0     0   148    0 6000 14 11 75  0
 3  0 1004956 107644 86672 1176292   0    0     0     0    0 1993  5  3 92  0
 0  0 1004956 108264 86680 1176312   0    0     0   120    0 6404 15 11 74  0
 5  0 1004956 107972 86680 1176340   0    0     0   352    0 2627  7  6 87  0
 0  0 1004956 106916 86688 1176356   0    0     0   104    0 3739  7  7 86  0
 6  0 1002576 98800  87192 1183976   0    0 17208  1632    1 11877 17 17 64 1
 4  0 1002476 95996  87212 1185668   0    0  1692   160    0 2181  3  2 95  0
 1  0 1002460 99368  87228 1185904   0    0   304   284    0 6266 14 11 75  0
 5  0 1002424 97000  87252 1185932   0    0     0  1280    0 4366 11  9 79  0
 1  0 1002420 106100 87252 1185680   0    0     0     0    0 2925  6  7 87  0
 4  0 1002396 103340 87268 1185792   0    0   248   248    0 6405 15 11 74  0
 3  0 1002300 102796 87268 1185932   0    0     0     0    0 2212  6  4 90  0
 2  0 1003928 99916  87276 1179020   0    0     0   168    0 4810 12 10 78  0
 5  0 1003908 99396  87276 1179064   0    0    84   520    0 4081 11  8 81  0
