procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0 1003964 199628 87324 1174376   0    0   281    53    0  680  7  6 87  0
 5  0 1003960 155968 87332 1174468   0    0     0   168    0 11702 17 14 69 0
 2  0 1003960 155348 87332 1174468   0    0     0     0    0 3189  6  4 90  0
 0  0 1003960 153860 87332 1174472   0    0     0   252    0 4061  9  7 84  0
 1  0 1003676 147424 87340 1175728   0    0   384     0    0 4222 10  8 82  0
 2  0 1003676 147284 87340 1175728   0    0     0     0    0 1940  4  4 93  0
 8  0 1003676 146760 87356 1175708   0    0     0   260    0 3757 10  6 84  0
 0  0 1003672 164692 87308 1175712   0    0     0    64    0 5263 10  9 81  0
 7  0 1003672 165004 87308 1175712   0    0     0     0    0 2734  5  4 91  0
 0  0 1003672 164880 87308 1175672   0    0     0   320    0 3247  8  6 87  0
 2  0 1003672 164384 87308 1175708   0    0     0     0    0 4646  9  8 83  0
 8  0 1003672 164260 87308 1175708   0    0     0     0    0 1832  4  3 93  0
 0  0 1003544 163100 87332 1175716   0    0     0   336    0 4843 10  9 81  0
 1  0 1003544 155756 87332 1175748   0    0     0     0    0 4378  9  7 84  0
 4  0 1003544 154860 87332 1175752   0    0     0    80    0 2590  5  4 91  0
