procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 1069464 280012 144512 1088392  0    0   322    55    0  687  7  6 87  0
 2  0 1069464 237476 144568 1088432  0    0     0   940    0 15338 15 13 71 1
 1  0 1069464 236976 144568 1088432  0    0     0     0    0 11306 12 10 78 0
 1  0 1069464 235132 144568 1088432  0    0     0    48    0 5461  8  7 85  0
 0  0 1069464 234636 144568 1088432  0    0     0     0    0 11159 12 11 77 0
 2  0 1069460 234388 144568 1088432  0    0     0     0    0 3104  6  6 88  0
 2  1 1069460 234824 144716 1088432  0    0     0  4012    0 17368 13 14 70 2
 3  0 1069460 234608 144716 1088432  0    0     0   616    0 2582  5  4 90  1
 0  0 1069460 233880 144716 1088432  0    0     0     0    0 14579 16 14 70 0
 0  0 1069460 233872 144716 1088432  0    0     0    60    0 2157  3  3 94  0
 2  0 1069456 227400 144716 1088432  0    0     0     0    0 13771 16 13 71 0
 3  0 1069456 226600 144768 1088432  0    0     0   644    0 6964 11  8 80  0
