procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0 1079432 329184 141568 1049396  0    0   325    55    0  685  7  6 87  0
 3  0 1079448 314472 141584 1049372  0    0     0   956    0 22516 18 17 65 0
 5  0 1079448 317768 141584 1049404  0    0     0     0    0 3728  8  5 87  0
 1  0 1079436 316704 141584 1049372  0    0     0   124    0 7741  9  8 83  0
 5  0 1079436 316456 141584 1049372  0    0     0     0    0 11509 10 8 83  0
 7  0 1079432 316084 141584 1049376  0    0     0    68    0 4752  5  5 90  0
 0  0 1079428 315336 141600 1049360  0    0     0  1300    0 9347 11  9 79  1
 3  0 1079428 314080 141600 1049376  0    0     0     0    0 13421 11 9 81  0
 1  0 1079428 314012 141600 1049376  0    0     0     0    0 4151  5  6 89  0
 0  0 1079428 314448 141600 1049376  0    0     0     0    0 7369 11  8 81  0
 1  0 1079428 314552 141600 1049376  0    0     0    52    0 14534 11 8 81  0
 2  0 1079428 313872 141620 1049356  0    0     0  1112    0 5253  6  6 87  1
 2  0 1079428 312616 141620 1049376  0    0     0     0    0 6774  9  8 83  0
 0  0 1079428 312456 141620 1049376  0    0     0     0    0 13616 11 9 81  0
 0  0 1079428 312120 141620 1049376  0    0     0     0    0 3850  5  4 91  0
