procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0 1041896 177320 86720 1178992   0    0   281    53    0  681  7  6 87  0
 4  0 1041892 131052 86728 1178988   0    0     0   172    0 12027 17 15 69 0
 4  0 1041888 131136 86728 1179084   0    0     0     0    0 2009  3  2 94  0
 0  0 1041888 130572 86728 1179084   0    0     0   448    0 3459  8  7 85  0
 4  0 1041920 139920 86728 1179024   0    0     0     0    0 5329 10  8 83  0
 2  0 1041916 139004 86728 1179028   0    0     0     0    0 2747  5  5 90  0
 0  0 1041916 137456 86744 1179004   0    0     0   276    0 4685  8  8 83  0
 4  0 1041944 144480 86744 1178944   0    0     0     0    0 5410 11  9 80  0
13  0 1041944 143968 86744 1178948   0    0     0   336    0 1781  4  3 94  0
10  0 1041928 141216 86744 1178916   0    0     0     0    0 4894  9  8 82  0
 3  0 1041928 136300 86744 1178920   0    0     0     0    0 4904 10  8 82  0
 3  0 1041928 135228 86752 1178972   0    0     0    28    0 2768  4  4 91  0
 2  0 1041924 134252 86768 1178976   0    0     0   120    0 4025  9  6 85  0
 3  0 1041924 133664 86768 1178976   0    0     0   100    0 4931 11  8 82  0
 4  0 1041924 132888 86768 1178976   0    0     0     0    0 1611  3  2 95  0
