procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 156852  49036   4472 688740    2   18   955    95    0  525  5  4 90  1
 1  0 156852  34520   4472 688740    0    0     0     0    0 5188 17 10 74  0
 3  0 156852  33560   4468 686988    0    0   228    80    1 13037 24 8 67  0
 5  0 156852  33460   4476 686964    0    0     0   176    0 8981 17  8 75  0
 0  0 156852  33044   4484 686976    0    0     0    64    0 11878 22 8 70  0
 5  0 156848  33020   4484 686980    4    0    48     0    0 7712 15  6 79  0
 1  0 156848  33024   4484 687028    0    0     0     0    0 13268 23 7 70  0
 1  0 156848  32620   4484 687028    0    0     0     0    0 8721 17  7 76  0
 3  0 156852  34176   4472 685032    0    4     0   236    0 12799 22 8 70  0
 0  0 156852  33896   4480 685032    0    0     0   108    0 9786 17  7 76  0
 3  0 156852  33540   4480 685040    0    0     0     0    0 11461 22 9 69  0
 0  0 156852  34372   4480 685040    0    0     0     0    0 8402 16  5 79  0
