procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 1261028 331100 116532 1015764  0    0   349    54    0  672  7  6 87  0
 6  0 1260980 249036 116540 1015868  0    0     0   244    0 15262 16 15 69 0
 0  0 1260980 248620 116540 1015868  0    0     0     0    0 4416  8  6 86  0
 1  0 1260976 247588 116680 1015856  0    0     0   940    0 3522  6  6 88  1
 0  0 1260976 249732 116680 1015868  0    0     0     0    0 2476  6  4 90  0
 0  0 1261040 265604 116680 1015812  0    0     0   136    0 3031  7  5 88  0
 1  0 1261032 265428 116680 1015812  0    0     0     0    0 2511  4  5 91  0
 0  0 1260940 264932 116680 1016104  0    0   280     0    0 3100  6  7 87  0
 3  0 1260940 264388 116712 1016092  0    0     0   940    0 3739  6  7 87  1
 1  0 1260940 264064 116712 1016092  0    0     0     0    0 3806  7  4 88  0
 4  0 1260940 263072 116720 1016092  0    0     0    92    0 2310  5  4 91  0
 0  0 1260932 264312 116720 1016096  0    0     0     0    0 7385 13  9 77  0
 0  0 1260932 263964 116720 1016096  0    0     0     0    0 2895  6  5 89  0
 1  0 1260860 264920 116784 1016056  0    0     4   652    0 4243  8  9 82  1
 0  0 1260860 264836 116892 1016116  0    0    20   496    0 3103  6  6 88  1
 3  0 1260828 264128 116892 1016120  0    0     0    84    0 2725  7  4 89  0
 1  0 1260828 263680 116900 1016120  0    0     0   168    0 2841  6  5 89  0
 2  0 1260828 262928 116900 1016120  0    0     0     0    0 3060  6  4 90  0
