procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 1020056 327556 148716 1090668  0    0   308    56    0  697  7  6 87  0
 7  1 1020044 287232 148760 1090696  0    0     0   564    0 14173 15 13 71 0
 0  0 1020032 287272 148760 1090704  0    0     0   560    0 10180 10 9 80  0
 4  0 1020032 287136 148760 1090704  0    0     0     0    0 6408  8  6 86  0
 2  0 1020032 286224 148760 1090704  0    0     0     0    0 13753 12 11 77 0
 3  0 1020032 286472 148760 1090704  0    0     0    56    0 4573  9  7 84  0
 1  0 1020032 286412 148760 1090704  0    0     0     0    0 8327  9  7 84  0
 4  0 1020032 286164 148920 1090704  0    0     0  4868    0 5172  5  7 85  3
 7  0 1020032 286024 148920 1090704  0    0     0     0    0 14215 14 12 74 0
 0  0 1020024 285676 148924 1090704  0    0     0    64    0 2296  4  4 92  0
 1  0 1020020 284960 148924 1090704  0    0     0     0    0 14517 14 12 73 0
 0  0 1020020 285048 148924 1090704  0    0     0    44    0 5160  6  5 89  0
