procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 5  0 1095092 275812 144092 1072812  0    0   316    55    0  691  7  6 87  0
 0  0 1094968 277112 144096 1072784  0    0     0   160    0 20861 19 13 68 0
 1  0 1094968 276616 144104 1072784  0    0     0    28    0 3704  4  4 92  0
 1  0 1094952 276136 144104 1072784  0    0     0   132    0 7395 10  8 82  0
 0  0 1094948 276152 144104 1072784  0    0     0     0    0 11327 10 9 81  0
 2  0 1094948 275508 144104 1072788  0    0     0     0    0 4329  4  4 92  0
 2  0 1094948 275696 144112 1072788  0    0     0    64    0 7913  9  7 84  0
 4  0 1094948 274424 144224 1072788  0    0     0  1340    0 12793 10 8 82  1
 6  0 1094948 274208 144224 1072788  0    0     0     4    0 5692  5  6 89  0
 0  0 1094948 273964 144224 1072788  0    0     0     0    0 7311 10  8 82  0
 0  0 1094948 273972 144224 1072788  0    0     0     0    0 11679 10 8 81  0
 4  0 1094948 273500 144224 1072788  0    0     0     0    0 4498  7  5 88  0
 0  0 1094948 273328 144224 1072788  0    0     0     0    0 8617 11  9 80  0
 2  0 1094948 273496 144380 1072776  0    0     0  1156    1 11686 11 8 81  1
 4  0 1094948 273320 144380 1072788  0    0     0     0    0 3644  4  4 92  0
