procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 1000384 333208 79872 1116724   0    0   255    50    0  692  7  6 87  0
 1  0 1000376 275428 79880 1116672   0    0     0   644    0 13215 15 15 69 0
 7  0 1000376 275140 79880 1116780   0    0     0     0    0 4563  6  6 87  0
 1  0 1000196 297888 79880 1117056   0    0   276     0    0 4004 10  6 84  0
 0  0 1000196 299604 79880 1117056   0    0     0     0    0 2708  8  5 88  0
 5  0 1000196 299256 79888 1117056   0    0     0    72    0 2953  8  6 86  0
 2  0 1000196 299788 79888 1117056   0    0     0   144    0 5538  9  8 83  0
 0  0 1000196 299160 79888 1117056   0    0     0     0    0 2756  8  5 88  0
 0  0 1000196 299012 79904 1117056   0    0     0   152    0 3138 10  7 83  0
11  0 1000192 298408 79904 1117060   0    0     0     0    0 2945  8  6 86  0
 0  0 1000184 297648 79904 1117060   0    0     0     0    0 3042  8  7 86  0
 0  0 1000084 290220 79928 1117036   0    0     0   552    0 2983 12  6 82  0
 4  0 1000076 288188 79928 1117064   0    0     0     0    0 4838 10  8 82  0
 4  0 1000076 290572 79928 1117064   0    0     0    16    0 3621  6  5 89  0
 2  0 1000076 290056 79928 1117064   0    0     0     0    0 2916  8  6 86  0
 0  0 1000072 289424 79928 1117064   0    0     0     0    0 2676  7  6 87  0
 0  0 1000072 329228 79944 1117024   0    0     0   304    0 2545  6  6 88  0
 0  0 1000072 329196 79944 1117024   0    0     0     0    0  925  2  3 95  0
