procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0 1072200 264564 147548 1087168  0    0   312    56    0  694  7  6 87  0
 5  0 1072200 221904 147548 1087208  0    0     0   728    0 13304 17 16 67 0
 0  0 1072200 221928 147548 1087200  0    0     0   736    0 6838 10  8 82  0
 8  0 1072200 220564 147552 1087632  0    0     0   552    0 8702 15 10 75  0
 1  0 1072200 220496 147552 1087632  0    0     0     0    0 1843  4  3 93  0
 0  0 1072196 219384 147556 1088080  0    0     0   644    0 10957 16 13 71 0
 3  0 1072196 218320 147556 1088080  0    0     0     0    0 5820 12  8 81  0
 1  0 1072196 218512 147564 1088560  0    0     0  2468    0 5724  7  7 85  1
 0  0 1072192 218640 147572 1087252  0    0     0   560    0 12180 16 14 70 0
 3  0 1072192 218420 147572 1087244  0    0     0     0    0 1578  4  3 93  0
 0  0 1072192 217960 147572 1087252  0    0     0   524    0 6699 12  8 80  0
 8  0 1072192 216448 147584 1087576  0    0     0   652    0 5586 11  7 81  0
 0  0 1072244 216416 147608 1087504  0    0     0  1220    0 8378 10 10 79  1
 7  0 1072356 215172 147604 1087820  0    0     0   552    0 9661 16 12 72  0
 3  0 1072356 214892 147612 1087820  0    0     0    56    0 2746 10  5 85  0
 0  0 1072356 214360 147620 1088268  0    0     0  1180    0 11273 16 12 72 0
 6  0 1072356 213892 147620 1088260  0    0     0    96    0 3871 10  5 85  0
