procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 4  0 1199568 246196 68252 1082576   0    0   369    53    0  657  6  6 87  0
 4  0 1199512 212988 68444 1082612   0    0     0  1012    0 22053 18 16 66 0
 0  0 1199512 212368 68444 1082612   0    0     0     0    0 4195  4  4 92  0
 0  0 1199512 211252 68444 1082612   0    0     0   112    0 7073 10  8 82  0
 0  0 1199508 210900 68444 1082612   0    0     0     0    0 12031 10 8 82  0
 1  0 1199508 210708 68444 1082616   0    0     0     0    0 4371  5  5 91  0
 0  0 1199504 210076 68748 1082616   0    0     0  1264    0 10018 13 10 75 1
 1  0 1199500 209596 68756 1082616   0    0     0    56    0 11606 11 8 81  0
 2  0 1199500 209208 68756 1082616   0    0     0    16    0 6350  6  6 88  0
 0  0 1199500 209208 68756 1082616   0    0     0     0    0 8127 10  8 82  0
 0  0 1199496 208724 68756 1082612   0    0     0     0    0 11311 11 8 82  0
 2  0 1199496 208648 68764 1082616   0    0     0   112    0 4022  4  4 92  0
 2  0 1199496 208652 69004 1082616   0    0     0  1024    0 7958  9  7 83  1
 5  0 1199492 208328 69004 1082616   0    0     0   112    0 12825 11 7 82  0
 1  0 1199488 207968 69004 1082616   0    0     0     0    0 4533  4  6 90  0
