procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0 1069480 270828 144276 1088396  0    0   323    55    0  687  7  6 87  0
 4  0 1069476 235268 144320 1088432  0    0     0  1100    0 22007 20 16 64 1
 7  0 1069476 234924 144320 1088432  0    0     0     0    0 3842  4  5 91  0
 1  0 1069476 238148 144320 1088432  0    0     0     0    0 8242 12  8 80  0
 1  0 1069476 237204 144320 1088432  0    0     0   128    0 14181 9  8 83  0
 1  0 1069476 237016 144320 1088436  0    0     0     0    0 4597  5  4 91  0
 2  0 1069476 237020 144324 1088436  0    0     0    32    0 6848 10  7 83  0
 0  0 1069476 239084 144500 1088436  0    0     0  1508    0 13557 11 10 78 1
 1  0 1069472 239020 144500 1088436  0    0     0     0    0 4007  5  4 91  0
 0  0 1069468 238648 144500 1088436  0    0     0     0    0 7567 11  8 81  0
 1  0 1069468 241936 144504 1088436  0    0     0   124    0 12704 15 8 78  0
 4  0 1069468 241656 144504 1088436  0    0     0     0    0 3614  4  3 92  0
 0  0 1069468 241452 144508 1088436  0    0     0  1280    0 7810  9  8 82  1
 4  0 1069464 240460 144508 1088436  0    0     0     0    0 13408 10 9 81  0
 4  0 1069464 240444 144508 1088436  0    0     0     0    0 5284  6  6 88  0
