procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 1035164 287036 74416 1110940   0    0   266    51    0  689  7  6 87  0
 2  0 1035160 242720 74440 1111040   0    0     0   396    0 10142 18 13 69 0
 0  0 1035160 241728 74440 1111040   0    0     0     0    0 2650  5  4 91  0
 6  0 1035156 239660 74448 1111084   0    0     0   480    0 5177 13 10 76  0
 1  0 1035156 239404 74448 1111032   0    0     0     0    0 2016  5  4 92  0
 1  0 1035156 237048 74456 1111052   0    0     0   148    0 6239 15 12 73  0
 3  0 1035152 236568 74456 1111092   0    0     0     0    0 2788 11  7 82  0
 0  0 1035140 241060 74472 1111376   0    0   276   164    0 4762 14  7 79  0
 2  0 1035140 242512 74480 1111344   0    0     0   104    0 5351 14 10 76  0
 3  0 1035140 242496 74480 1111344   0    0     0   236    0 1534  3  3 94  0
 0  0 1035140 241020 74488 1111384   0    0     0   112    0 7016 15 11 74  0
 4  0 1035140 239232 74520 1111332   0    0     0   448    0 4248 12  8 80  0
 0  0 1035136 238548 74520 1111344   0    0     0     0    0 2962  5  5 90  0
 2  0 1035104 236632 74536 1111384   0    0     0   144    0 6124 16 10 74  0
 5  0 1035104 236168 74536 1111332   0    0     0   468    0 3168  7  5 88  0
 0  0 1035104 235136 74544 1111352   0    0     0   140    0 5209 13  9 78  0
 0  0 1035100 234664 74544 1111388   0    0     0     0    0 3333  9  6 85  0
