procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 6  0 1080640 330400 138020 1044384  0    0   330    55    0  682  7  6 87  0
 3  0 1080704 314700 138024 1044416  0    0     0   880    0 13627 16 14 70 0
 1  0 1080704 312376 138032 1044416  0    0     0   128    0 8261 10  7 83  0
12  0 1080700 311600 138032 1044416  0    0     0     0    0 6433  9  8 83  0
 1  0 1080700 311444 138032 1044416  0    0     0     0    0 10240 12 9 79  0
 1  0 1080700 311552 138032 1044416  0    0     0     0    0 4536  6  5 89  0
 3  0 1080700 311104 138212 1044364  0    0     0  4228    1 16188 14 13 71 3
 5  0 1080696 311012 138228 1044416  0    0     0   124    0 2464  5  4 91  0
 0  0 1080696 310440 138228 1044416  0    0     0     0    0 13807 15 12 73 0
 0  0 1080696 310316 138228 1044416  0    0     0     0    0 1654  3  3 95  0
 6  0 1080692 309944 138228 1044416  0    0     0     0    0 9593 11  9 80  0
 0  0 1080692 309820 138228 1044416  0    0     0    28    0 1210  3  2 95  0
