procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 1063496 299372 75628 1105536   0    0   272    52    0  685  7  6 87  0
 0  0 1063412 240400 75644 1105656   0    0     0   304    0 13784 16 14 69 0
 0  0 1063412 240556 75644 1105592   0    0     0   644    0 4305  7  4 89  0
 2  0 1063412 239292 75644 1105592   0    0     0     0    0 3377 10  7 83  0
 1  0 1063408 241036 75652 1105592   0    0     0   148    0 2922  8  6 85  0
 2  0 1063408 239656 75652 1105592   0    0     0     0    0 3577  9  7 84  0
 3  0 1063408 239240 75652 1105592   0    0     0     0    0 1987  5  4 92  0
 0  0 1063408 239248 75652 1105592   0    0     0     0    0 5280  9  7 84  0
 0  0 1063408 237688 75660 1105600   0    0     0   284    0 3489  9  7 84  0
 2  0 1063396 236588 75660 1105604   0    0     0     0    0 3477  8  6 86  0
 7  0 1063396 235592 75660 1105604   0    0     0     0    0 3804  7  5 87  0
 0  0 1063396 234716 75676 1105656   0    0     0   240    0 3207  7  6 88  0
 6  0 1063396 233608 75676 1105604   0    0     0     0    0 3291  8  7 85  0
 0  0 1063356 250012 75684 1105672   0    0   184   356    0 4389 18  8 74  0
 3  0 1063356 250144 75684 1105792   0    0     0     0    0 2762 10  8 82  0
 4  0 1063352 247316 75684 1105864   0    0    72     0    0 6042 11  9 80  0
 1  0 1063352 246832 75684 1105864   0    0     0     0    0 2478  7  6 88  0
 7  0 1063352 246840 75684 1105864   0    0     0     0    0 2807  8  5 87  0
