procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 158304  58348   5740 667620    2   16   844    86    0  571  6  4 90  1
 8  0 158312  46668   5740 666148    0    8    56    44    0 3800 14  8 78  0
 0  0 158312  42920   5756 665896    0    0     0   176    0 5606  9  4 87  0
 1  0 158312  42820   5764 665768    0    0     0    96    0 3746  7  3 90  0
 0  0 158312  42528   5764 665816    0    0     0     0    0 3040  3  4 93  0
 0  0 158312  41756   5772 665764    0    0     0    76    0 5834 11  5 84  0
 2  0 158312  41912   5772 665776    0    0     0   252    0 1724  4  2 94  0
 2  0 158312  41452   5780 665784    0    0     0   108    0 5591  7  4 89  0
 0  0 158312  41064   5788 665920    0    0   128    64    0 5766 11  4 85  0
 0  0 158312  40988   5788 665872    0    0     0     0    0  528  0  1 99  0
 0  0 158312  40536   5796 666064    0    0   112    92    0 6898 10  5 85  0
 1  0 158312  38304   5820 667556    0    0  1956   524    0 4506  7  3 88  2
 0  0 158312  38180   5820 667548    0    0     0     0    0 3068  4  5 91  0
 1  0 158312  36928   5828 667592    0    0     0    96    0 6504  9  5 85  0
 1  0 158316  36604   5836 667656    0    4     0    80    0 1789  3  2 94  0
 1  0 158324  36716   5836 667112    0    8     0   280    0 5233  7  3 89  0
 4  0 158328  35656   5876 666796    0    4    36   108    0 4734  9  3 88  0
