procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0 1195688 235860 84264 1085000   0    0   364    54    0  662  7  6 87  0
 1  0 1196624 198540 84392 1054560   0    0   180   296    0 14486 17 16 67 0
 0  0 1200900 213088 84392 1050316   0    0     0     0    0 5017  6  7 86  0
 0  0 1200896 212412 84392 1050316   0    0     0     0    0 2690  6  6 89  0
 3  0 1200892 221048 84600 1050184   0    0     0   888    0 3724  8  7 85  1
 2  0 1200888 220196 84600 1050184   0    0     0   176    0 4629  9  6 85  0
 1  0 1200852 219636 84608 1050184   0    0     0   116    0 3664  7  5 87  0
 0  0 1200712 218672 84616 1050808   0    0   620    96    0 3001  6  5 89  0
 0  0 1200712 218672 84616 1050808   0    0     0     0    0 2524  5  4 91  0
 3  0 1200712 218152 84856 1050808   0    0     0  1004    0 3230  6  6 88  1
 3  0 1200592 217636 84880 1050888   0    0    16   268    0 3597  9  6 85  0
 0  0 1200552 219060 84880 1051768   0    0     0     0    0 8100 12  8 79  0
 0  0 1200548 218688 84880 1051768   0    0     0     0    0 2224  4  4 92  0
 5  0 1200548 218340 84880 1051768   0    0     0     0    0 2758  6  5 89  0
 7  0 1200544 217856 85164 1051736   0    0     0  1200    0 3790  7  6 86  1
11  0 1200536 217348 85164 1051772   0    0     0    64    0 3848  7  5 88  0
 0  0 1200536 216460 85172 1051772   0    0     0    60    0 3296  6  5 88  0
 0  0 1200520 230592 85180 1050888   0    0     0    60    0 3360 11  4 84  0
