procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0 1008592 186628 84148 1175296   0    0   284    53    0  679  7  6 87  0
 2  0 1008588 144612 84156 1175316   0    0     0   160    0 12991 15 14 71 0
 1  0 1008584 144556 84156 1175364   0    0     0     0    0 12239 18 16 66 0
 1  0 1008576 143936 84156 1175356   0    0     0     0    0 12488 16 15 69 0
 1  0 1008568 141136 84156 1175364   0    0     0   108    0 13727 17 14 69 0
 2  0 1008564 139580 84156 1175368   0    0     0     0    0 8751 12 12 76  0
 0  0 1008564 139372 84156 1175332   0    0     0     0    0 1568  1  2 97  0
 0  0 1008564 138568 84164 1175332   0    0     0    68    0 2494  4  4 92  0
15  0 1008564 138248 84164 1175332   0    0     0     0    0 1098  1  1 98  0
 1  0 1008564 127900 84172 1175328   0    0     0   180    0 2895 10  4 86  0
 0  0 1008560 129744 84172 1175336   0    0     0     0    0 1699  2  1 97  0
 1  0 1008552 129324 84172 1175336   0    0     0     0    0  856  1  1 98  0
