procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0 1095064 256672 136052 1064680  0    0   335    55    0  681  7  6 87  0
 1  0 1102752 208812 135608 1051536  0    0     0   532    0 15911 17 18 65 0
 0  0 1113524 230828 134228 1044020  0    0     0     0    0 4812  8  8 84  0
 1  0 1113524 230696 134316 1044016  0    0     0   876    0 3087  6  5 89  1
 4  0 1113516 231752 134316 1044020  0    0     0    16    0 2876  7  5 88  0
 2  0 1113504 231308 134316 1044020  0    0     0     0    0 2868  6  6 88  0
 0  0 1113504 231496 134316 1044020  0    0     0     0    0 2598  5  4 91  0
 0  0 1113480 242360 134316 1044020  0    0     0    16    0 3608 13  6 81  0
 3  0 1113476 248140 134332 1044004  0    0     0   948    0 4087  9  6 84  1
14  0 1113432 252864 134332 1044020  0    0     0     0    0 2701  7  5 88  0
 5  0 1113428 253096 134332 1044020  0    0     0     0    0 3608  6  6 89  0
 0  0 1113420 253584 134332 1044028  0    0     0    56    0 7786 12  9 79  0
 0  0 1113420 253404 134332 1044024  0    0     0     0    0 1807  4  3 93  0
 6  0 1113420 253204 134332 1044024  0    0     0    24    0 2571  5  5 90  0
 6  0 1113412 252640 134448 1043948  0    0     0  1288    0 4361  7  8 84  1
 3  0 1113412 252080 134448 1044028  0    0     0     0    0 2405  6  4 90  0
 0  0 1113408 252272 134448 1044028  0    0     0     0    0 2616  6  6 89  0
 0  0 1113404 251772 134448 1044028  0    0     0     0    0 2936  6  5 89  0
