procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 1016432 271940 79260 1116828   0    0   256    50    0  692  7  6 87  0
 4  0 1016408 214400 79276 1116868   0    0     0   252    0 13505 15 15 69 0
 4  0 1016392 212564 79472 1116804   0    0   192    72    0 6001  8  7 85  0
 1  0 1016380 236004 79472 1116012   0    0    76   316    0 4651 11  7 82  0
 3  0 1016380 237532 79476 1116088   0    0     0   140    0 3077 10  6 84  0
 1  0 1016380 237420 79476 1116088   0    0     0     0    0 2793  8  6 86  0
 0  0 1016380 237888 79476 1116088   0    0     0     0    0 5386 10  7 83  0
 9  0 1016380 236824 79476 1116088   0    0     0     0    0 3643  7  7 86  0
 2  0 1016376 236240 79484 1116092   0    0     0   332    0 3333 10  7 83  0
 1  0 1016376 235892 79484 1116100   0    0     0     0    0 2674  8  5 87  0
 2  0 1016376 235072 79484 1116100   0    0     0     0    0 2510  7  5 88  0
 4  0 1016372 234396 79496 1116148   0    0     0   264    0 3167  8  7 85  0
 0  0 1016372 231968 79496 1116100   0    0     0     0    0 4891 11  8 81  0
 1  0 1016372 231340 79496 1116100   0    0     0   168    0 3030  7  5 89  0
 0  0 1016372 230240 79496 1116100   0    0     0     0    0 3014  9  6 85  0
 0  0 1016372 219584 79496 1116100   0    0     0     0    0 3311 12  7 82  0
 0  0 1016372 258804 79508 1116060   0    0     0   232    0 2579  6  5 89  0
 1  0 1016372 258856 79508 1116060   0    0     0     0    0 1111  3  3 94  0
