procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0 999280 297408  80776 1120456   0    0   254    50    0  692  7  6 87  0
 0  0 999280 265632  80784 1120604   0    0     0   168    0 11381 16 14 70 0
 6  0 999280 265452  80784 1120540   0    0     0     0    0 1963  5  4 92  0
 0  0 999280 264620  80784 1120544   0    0     0   184    0 3058  7  5 88  0
 5  0 999280 264596  80784 1120544   0    0     0     0    0 5155 10  8 82  0
 2  0 999280 263876  80784 1120548   0    0     0     0    0 2053  4  3 93  0
 0  0 999280 263440  80800 1120520   0    0     0   264    0 3052  8  5 86  0
 1  0 999312 277020  80800 1120476   0    0     0     0    0 4543 10  8 82  0
 1  0 999312 277052  80800 1120480   0    0     0   340    0 2036  4  4 92  0
 0  0 999312 277176  80808 1120440   0    0     0    28    0 3334  6  6 88  0
 1  0 999312 276848  80808 1120444   0    0     0     0    0 4464 10  7 83  0
 1  0 999312 276728  80816 1120480   0    0     0    20    0 2498  5  4 92  0
 0  0 999312 276468  80816 1120492   0    0     0     0    0 3335  7  5 88  0
 1  0 999292 293456  80816 1120492   0    0     0    96    0 5068 13  8 79  0
 1  0 999248 292152  80856 1120464   0    0     0   492    0 3787 13  7 79  0
