procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 1232804 273324 104064 1037844  0    0   356    54    0  667  7  6 87  0
 0  0 1232800 230792 104116 1037884  0    0     0   860    0 15523 15 13 72 0
 0  0 1232800 230628 104116 1037884  0    0     0     0    0 11681 11 11 78 0
 4  0 1232800 229884 104116 1037884  0    0     0     0    0 6127  8  6 86  0
 0  0 1232800 229568 104116 1037884  0    0     0     0    0 12014 13 11 76 0
 5  0 1232800 229432 104116 1037884  0    0     0     0    0 2913  6  3 91  0
 4  0 1232796 228628 104616 1037828  0    0     0  3504    1 16832 14 15 68 2
 0  0 1232796 227860 104840 1037884  0    0     0  1532    1 3393  5  5 88  1
 2  0 1232796 227820 104844 1037884  0    0     0   132    0 14368 15 13 72 0
 0  0 1232752 228380 104844 1037884  0    0     0    96    0 6538 10  7 83  0
 4  0 1232752 227544 104844 1037884  0    0     0     0    0 13411 14 12 75 0
 1  0 1232752 227120 105064 1037864  0    0     0  1964    0 4990  6  6 88  1
