procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 995592 139992  83880 1198684   0    0   285    53    0  679  7  6 87  0
 1  0 1006356 109648 83788 1180516   0    0     0   744    0 10835 16 17 66 0
 3  0 1009356 119024 83788 1172868   0    0     0     0    0 2164  2  4 94  0
 0  0 1009348 118188 83788 1172876   0    0     0     0    0 4452  9  9 82  0
 1  0 1009340 116600 83796 1172872   0    0     0    28    0 5275 11  8 81  0
 0  0 1009340 116080 83812 1172860   0    0     0   260    0 1984  4  3 93  0
 1  0 1009340 116060 83820 1172836   0    0     0   552    0 4097  9  8 83  0
 1  0 1009332 116104 83820 1172844   0    0     0     0    0 3534  9  8 83  0
 0  0 1009332 116500 83820 1172812   0    0     0     0    0 2620  3  4 93  0
 0  0 1009332 116624 83820 1172816   0    0     0    16    0 3731 10  7 83  0
 0  0 1009328 120516 83820 1172816   0    0     0     0    0 4552  9  7 83  0
 1  0 1009288 120380 83828 1172852   0    0     0    40    0 3994  5  6 90  0
 0  0 1009240 141404 83828 1172856   0    0     0   276    0 4407 20  6 74  0
 4  0 1009236 141208 83828 1172824   0    0     0     0    0 3899 11  9 79  0
 2  0 1009232 142360 83828 1172784   0    0     0     0    0 2967  5  3 92  0
