procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 1020004 316616 149288 1089436  0    0   307    56    0  698  7  6 87  0
 2  0 1019980 234040 149288 1089480  0    0     0   244    0 14806 17 15 68 0
 0  0 1019980 233404 149288 1089480  0    0     0     0    0 4242  6  6 87  0
 1  0 1019980 233776 149288 1089480  0    0     0    72    0 2630  5  4 91  0
 0  0 1019980 236024 149288 1089480  0    0     0   924    0 3089  6  5 88  1
 2  0 1019980 235776 149288 1089480  0    0     0     0    0 2838  6  5 89  0
 0  0 1019980 235840 149288 1089480  0    0     0     0    0 2792  5  4 91  0
 1  0 1019980 224680 149288 1089480  0    0     0     0    0 4564 12  8 80  0
 5  0 1019980 228168 149292 1089480  0    0     0   100    0 3215  7  5 87  0
 2  0 1019980 232320 149348 1089480  0    0     0  1068    0 3660 10  6 83  1
 2  0 1019980 232080 149348 1089480  0    0     0     0    0 3328  7  6 87  0
 1  0 1019980 231568 149348 1089484  0    0     0     0    0 6983 12  9 80  0
 1  0 1019976 231568 149348 1089484  0    0     0     0    0 1811  4  3 93  0
 2  0 1019976 231352 149348 1089484  0    0     0    52    0 2703  5  5 89  0
 5  0 1019976 230956 149404 1089484  0    0     0  1268    0 3837  6  7 86  1
 1  0 1019968 233204 149404 1089488  0    0     0     0    0 2619  6  5 89  0
 1  0 1019968 233088 149404 1089488  0    0     0     0    0 2515  4  5 91  0
 5  0 1019968 232700 149404 1089488  0    0     0     0    0 3847  6  6 88  0
