procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0 1016424 197564 77444 1129184   0    0   260    51    0  690  7  6 87  0
 1  0 1016492 177300 77448 1129236   0    0     0   168    0 10787 15 13 72 0
 1  0 1016492 177020 77448 1129224   0    0     0     0    0 2491  4  4 92  0
 5  0 1016492 168076 77448 1129224   0    0     0   220    0 4495 14  8 78  0
 0  0 1016492 189092 77456 1129244   0    0     0   156    0 4799 15  8 77  0
 1  0 1016492 188584 77464 1129220   0    0     0    28    0 1993  3  4 94  0
 0  0 1016492 188468 77476 1129200   0    0     0   232    0 4549 10  7 83  0
 0  0 1016560 194584 77476 1129144   0    0     0     0    0 4974  9  9 82  0
 1  0 1016124 194596 77480 1129340   0    0   184   456    0 3205  6  5 89  0
 8  0 1016124 194100 77480 1129340   0    0     0     0    0 3755  9  7 84  0
 3  0 1016124 193500 77480 1129344   0    0     0    16    0 5453 13  9 78  0
 5  0 1016124 193480 77480 1129344   0    0     0     0    0 1626  3  2 94  0
 0  0 1016124 193108 77480 1129300   0    0     0     0    0 3678  9  5 86  0
 3  0 1016124 192768 77484 1129316   0    0     0   148    0 4712  9  8 83  0
 1  0 1016124 191376 77496 1129336   0    0     0   296    0 3214  6  5 89  0
